overlap_ratio_0.0_sil2.9_3.0_session0_actual0.0_utterance_0	ONWARD SAID A DISTANT VOICE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_10	THAT WAS BUT RUSTLING OF DRIPPING PLANTS IN THE DARK
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_11	SHE WAS NOT HERSELF A NOTABLY INTELLIGENT WOMAN SHE GREATLY ADMIRED INTELLIGENCE OR WHATEVER LOOKED TO HER LIKE INTELLIGENCE IN OTHERS
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_12	WE DON'T KNOW WHERE IT WILL TAKE US
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_13	SHE WAS ALONE THAT NIGHT
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_14	TO THEIR SORROW THEY WERE SOON UNDECEIVED
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_15	HER HAIR IS STILL LIKE FLAX AND HER BLUE EYES ARE JUST LIKE A BABY'S AND SHE HAS THE SAME THREE FRECKLES ON HER LITTLE NOSE AND TALKS ABOUT GOING BACK TO HER BAINS DE MER
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_16	IN THIS INCIDENT CONTRASTING THE CREATIVE AND THE DESTRUCTIVE SPIRIT OF THE FACTIONS THE EMIGRANT AID SOCIETY OF MASSACHUSETTS FINDS ITS MOST HONORABLE AND TRIUMPHANT VINDICATION
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_17	THOUGHT KILLS ME THAT I AM NOT THOUGHT TO LEAP LARGE LENGTHS OF MILES WHEN THOU ART GONE BUT THAT SO MUCH OF EARTH AND WATER WROUGHT I MUST ATTEND TIME'S LEISURE WITH MY MOAN RECEIVING NOUGHT BY ELEMENTS SO SLOW BUT HEAVY TEARS BADGES OF EITHER'S WOE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_18	BUT HIS MOTHER HUGGED HIM CLOSE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_19	THEN TURNING TO JANE SHE ASKED IN A SOMEWHAT ALTERED TONE HAS SHE BEEN A GOOD GIRL JANE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_20	HILDA WATCHED HIM FROM HER CORNER TREMBLING AND SCARCELY BREATHING DARK SHADOWS GROWING ABOUT HER EYES IT
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_21	HEDGE A FENCE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_22	THIS COMPULSION LEADS NEMO INTO UGLY CONTRADICTIONS HE'S A FIGHTER FOR FREEDOM YET ALL WHO BOARD HIS SHIP ARE IMPRISONED THERE FOR GOOD HE WORKS TO SAVE LIVES BOTH HUMAN AND ANIMAL YET HE HIMSELF CREATES A HOLOCAUST HE DETESTS IMPERIALISM YET HE LAYS PERSONAL CLAIM TO THE SOUTH POLE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_23	VENICE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_24	ALEXANDER ROSE AND SHOOK HIMSELF ANGRILY YES I KNOW I'M COWARDLY
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_25	HE MOVED UNEASILY AND HIS CHAIR CREAKED
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_26	I ASKED FOR COMMANDER FARRAGUT
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_27	THOUSANDS OF HANDKERCHIEFS WERE WAVING ABOVE THESE TIGHTLY PACKED MASSES HAILING THE ABRAHAM LINCOLN UNTIL IT REACHED THE WATERS OF THE HUDSON RIVER AT THE TIP OF THE LONG PENINSULA THAT FORMS NEW YORK CITY
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_28	THE LEADERS OF THE CONSPIRACY BECAME DISTRUSTFUL OF THEIR POWER TO CRUSH THE TOWN
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_29	BRIGHTER THAN EARLY DAWN'S MOST BRILLIANT DYE ARE BLOWN CLEAR BANDS OF COLOR THROUGH THE SKY THAT SWIRL AND SWEEP AND MEET TO BREAK AND FOAM LIKE RAINBOW VEILS UPON A BUBBLE'S DOME
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_30	AND YET WHAT A FINE GALLANT LAD
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_31	FIND SOME CRESSWELLS THERE BIG PLANTATIONS RATED AT TWO HUNDRED AND FIFTY THOUSAND DOLLARS
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_32	THEY ARE CHIEFLY FORMED FROM COMBINATIONS OF THE IMPRESSIONS MADE IN CHILDHOOD
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_33	BUT ANDERS CARED NOTHING ABOUT THAT
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_34	IT'S TREMENDOUSLY WELL PUT ON TOO
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_35	THE BROWN GROUND BENEATH IS LEFT FOR THE MOST PART ONE TOUCH OF BLACK IS PUT FOR THE HOLLOW TWO DELICATE LINES OF DARK GRAY DEFINE THE OUTER CURVE AND ONE LITTLE QUIVERING TOUCH OF WHITE DRAWS THE INNER EDGE OF THE MANDIBLE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_36	AND SO IF I'D BEEN DELAYED BY A QUARTER OF AN HOUR OR EVEN LESS THE FRIGATE WOULD HAVE GONE WITHOUT ME AND I WOULD HAVE MISSED OUT ON THIS UNEARTHLY EXTRAORDINARY AND INCONCEIVABLE EXPEDITION WHOSE TRUE STORY MIGHT WELL MEET WITH SOME SKEPTICISM
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_37	YOU MUST LOOK AT HIM IN THE FACE FIGHT HIM CONQUER HIM WITH WHAT SCATHE YOU MAY YOU NEED NOT THINK TO KEEP OUT OF THE WAY OF HIM
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_38	PUT THESE PLAYTHINGS ALL AWAY QUICK AND CAREFULLY AND WE WILL NOT LET THEM KNOW ANY THING ABOUT YOUR LEAVING THEM OUT
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_39	KEEP AWAY IF YOU WISH WHEN HAVE I EVER FOLLOWED YOU
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_40	THE LARGE LETTER CONTAINS INDEED ENTIRELY FEEBLE AND ILL DRAWN FIGURES THAT IS MERELY CHILDISH AND FAILING WORK OF AN INFERIOR HAND IT IS NOT CHARACTERISTIC OF GOTHIC OR ANY OTHER SCHOOL
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_41	WITH ONE JUMP ANDERS GOT OUT OF HIS CHAIR
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_42	IT'S REALLY TOO WARM IN THIS ROOM TO SING DON'T YOU FEEL IT
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_43	FOOTNOTE SUMNER TO SHANNON MAY TWELFTH EIGHTEEN FIFTY SIX
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_44	THEN HE LOOKED DOWN THE LAGOON WAS DRY
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_45	AFTER ALL WE WERE AWFULLY YOUNG
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_46	ALEXANDER LEANED FORWARD AND WARMED HIS HANDS BEFORE THE BLAZE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_47	BUT WE'RE NOT ER EXACTLY WELCOMED
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_48	MISS TAYLOR DID NOT KNOW MUCH ABOUT COTTON BUT AT LEAST ONE MORE REMARK SEEMED CALLED FOR
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_49	SOME TIME YOU'LL TELL ME PLEASE WON'T YOU
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_50	HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_51	DON'T WORRY SIZZLE DEAR IT'LL ALL COME RIGHT PRETTY SOON
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_52	FOR GENERAL SERVICE THEREFORE REQUIRING NO SPECIAL EFFORT THE NUMERICAL STRENGTH OF THE FACTIONS WAS ABOUT EQUAL WHILE ON EXTRAORDINARY OCCASIONS THE TWO THOUSAND BORDER RUFFIAN RESERVE LYING A LITTLE FARTHER BACK FROM THE STATE LINE COULD AT ANY TIME EASILY TURN THE SCALE
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_53	HOTEL A PLACE WHERE A GUEST OFTEN GIVES UP GOOD DOLLARS FOR POOR QUARTERS
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_54	DELIA CAME TO THE PARLOR AND WITH AN AIR OF GREAT MYSTERY BECKONED THE CHILDREN ASIDE AND SAID TO THEM IN A WHISPER LEAVE ANDELLA AND ROSALIE HERE AND DON'T SAY A WORD TO THEM
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_55	BARTLEY BENT OVER AND TOOK HER IN HIS ARMS KISSING HER MOUTH AND HER WET TIRED EYES
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_56	HERE LAY THE READING OF THE RIDDLE WITH INFINITE WORK AND PAIN SOME ONE HAD DUG A CANAL FROM THE LAGOON TO THE CREEK INTO WHICH THE FORMER HAD DRAINED BY A LONG AND CROOKED WAY THUS ALLOWING IT TO EMPTY DIRECTLY
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_57	BUT NOW HERE IS A SUBJECT OF WHICH YOU WILL WONDER AT FIRST WHY TURNER DREW IT AT ALL
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_58	EXQUISITE ORDER AND UNIVERSAL WITH ETERNAL LIFE AND LIGHT THIS IS THE FAITH AND EFFORT OF THE SCHOOLS OF CRYSTAL AND YOU MAY DESCRIBE AND COMPLETE THEIR WORK QUITE LITERALLY BY TAKING ANY VERSES OF CHAUCER IN HIS TENDER MOOD AND OBSERVING HOW HE INSISTS ON THE CLEARNESS AND BRIGHTNESS FIRST AND THEN ON THE ORDER
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_59	THE GOLDEN FLEECE IT'S THE SILVER FLEECE HE HARKENED
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_60	THE PAIN PRODUCED BY AN ACT OF HASTY AND ANGRY VIOLENCE TO WHICH A FATHER SUBJECTS HIS SON MAY SOON PASS AWAY BUT THE MEMORY OF IT DOES NOT PASS AWAY WITH THE PAIN
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_61	IN A FEW DAYS AN OFFICER CAME WITH A REQUISITION FROM GOVERNOR SHANNON AND TOOK THE PRISONER BY LAND TO WESTPORT AND AFTERWARDS FROM THERE TO KANSAS CITY AND LEAVENWORTH
overlap_ratio_0.0_sil2.9_3.0_session2_actual0.0_utterance_62	HOSE MAN'S EXCUSE FOR WETTING THE WALK
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_0	I WILL MAKE YOU TRANSLATE THEM INTO FRENCH AND YOU NEED NOT BE AFRAID OF MY FINDING YOU INSATIABLE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_1	HE WAS SUCH A BIG BOY THAT HE WORE HIGH BOOTS AND CARRIED A JACK KNIFE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_2	LENGTH OF SERVICE FOURTEEN YEARS THREE MONTHS AND FIVE DAYS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_3	NOW THIS KNIFE WAS A SPLENDID ONE THOUGH HALF THE BLADE WAS GONE AND THE HANDLE WAS A LITTLE CRACKED AND ANDERS KNEW THAT ONE IS ALMOST A MAN AS SOON AS ONE HAS A JACK KNIFE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_4	SPINNING INDEED
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_5	MISTER OTTLEY'S INDEED
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_6	THEY WERE ABSORBED IN HIS THEOLOGY AND WERE UNDER THE DOMINION OF HIS NAME WHILE THAT WHICH WAS TRULY GREAT AND TRULY CHARACTERISTIC IN HIM HIS EFFORT TO REALIZE AND CONNECT ABSTRACTIONS WAS NOT UNDERSTOOD BY THEM AT ALL
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_7	FOR IF HE'S ANYWHERE ON THE FARM WE CAN SEND FOR HIM IN A MINUTE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_8	THAT CHRIST IS VERY GOD IS APPARENT IN THAT PAUL ASCRIBES TO HIM DIVINE POWERS EQUALLY WITH THE FATHER AS FOR INSTANCE THE POWER TO DISPENSE GRACE AND PEACE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_9	HE GIVE UP HIS POSITION AND SHUT THE FAMILY UP IN THAT TOMB OF A HOUSE SO T HE COULD STUDY HIS BOOKS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_10	HENRY LORD WITH THE DEGREE OF PH D TO HIS CREDIT HAD BEEN PROFESSOR OF ZOOLOGY AT A NEW ENGLAND COLLEGE BUT HAD RESIGNED HIS POST IN ORDER TO WRITE A SERIES OF SCIENTIFIC TEXT BOOKS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_11	HE MADE A BOW SO DEEP THAT HIS BACK CAME NEAR BREAKING AND HE WAS DUMBFOUNDED I CAN TELL YOU WHEN HE SAW IT WAS NOBODY BUT ANDERS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_12	AND THERE'S LINEN IN THE HOUSE AS I COULD WELL SPARE YOU FOR I'VE GOT LOTS O SHEETING AND TABLE CLOTHING AND TOWELLING AS ISN'T MADE UP
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_13	WITHOUT SAYING IT POSITIVELY SHE MADE ME UNDERSTAND THAT BEING HERSELF AN ILLUSTRIOUS MEMBER OF THE REPUBLIC OF LETTERS SHE WAS WELL AWARE THAT SHE WAS SPEAKING TO AN INSECT
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_14	HE ONLY SHOOK HIS HEAD
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_15	FOR IT IS A SOLID HEAVY HANDSOME DOOR AND MUST ONCE HAVE BEEN IN THE HABIT OF SHUTTING WITH A SONOROUS BANG BEHIND A LIVERIED LACKEY WHO HAD JUST SEEN HIS MASTER AND MISTRESS OFF THE GROUNDS IN A CARRIAGE AND PAIR
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_16	TWO YEARS BEFORE HER DEATH I SAW HER PERFORM THE CHARACTER OF MARIANNE IN THE COMEDY OF MARIVAUX AND IN SPITE OF HER AGE AND DECLINING HEALTH THE ILLUSION WAS COMPLETE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_17	A WORD SHOULD NOW BE SAID ABOUT THE ORIGIN OF LUTHER'S COMMENTARY ON GALATIANS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_18	HE STARTED AT THE THOUGHT HE HURRIED FORTH SADLY
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_19	THERE IS NO FEAR OF THAT SIR
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_20	OH I'VE NO DOUBT IT'S IN CAPITAL ORDER
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_21	THE INFLUENCE WITH THE TIMAEUS HAS EXERCISED UPON POSTERITY IS DUE PARTLY TO A MISUNDERSTANDING
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_22	IN OTHER WORDS THESE THREE MEN TOOK DOWN THE LECTURES WHICH LUTHER ADDRESSED TO HIS STUDENTS IN THE COURSE OF GALATIANS AND ROERER PREPARED THE MANUSCRIPT FOR THE PRINTER
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_23	WHEN THE KING COMES TO PARIS EVERYBODY CALLS OUT VIVE LE ROI
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_24	PLATO HAD NOT THE COMMAND OF HIS MATERIALS WHICH WOULD HAVE ENABLED HIM TO PRODUCE A PERFECT WORK OF ART
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_25	OCEAN REIGNED SUPREME
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_26	SHE WAS HONOURABLY BURIED IN THE CHURCH OF SAINT SAUVEUR WITHOUT THE SLIGHTEST OPPOSITION FROM THE VENERABLE PRIEST WHO FAR FROM SHARING THE ANTI CHRISTAIN INTOLERANCY OF THE CLERGY IN GENERAL SAID THAT HER PROFESSION AS AN ACTRESS HAD NOT HINDERED HER FROM BEING A GOOD CHRISTIAN AND THAT THE EARTH WAS THE COMMON MOTHER OF ALL HUMAN BEINGS AS JESUS CHRIST HAD BEEN THE SAVIOUR OF ALL MANKIND
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_27	I KNEW NOTHING OF THE DOCTRINE OF FAITH BECAUSE WE WERE TAUGHT SOPHISTRY INSTEAD OF CERTAINTY AND NOBODY UNDERSTOOD SPIRITUAL BOASTING
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_28	SEEING THAT I AM SO FINE I MAY AS WELL GO AND VISIT THE KING
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_29	COMB THE WOOL FOR THE WHITTAWS INDEED
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_30	HE WAS THE LAST TO TURN TO CHRIST
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_31	BUT THE WINDOWS ARE PATCHED WITH WOODEN PANES AND THE DOOR I THINK IS LIKE THE GATE IT IS NEVER OPENED
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_32	EMBRACE HIM AND FORGET ABOUT THE NATURE OF GOD
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_33	HE HAD A GOOD APPETITE COULD TELL A GOOD STORY WITHOUT LAUGHING WAS CELEBRATED FOR HIS WITTY REPARTEES AND HIS SOCIABLE MANNERS BUT HE SPENT HIS LIFE AT HOME SELDOM GOING OUT AND SEEING HARDLY ANYONE BECAUSE HE ALWAYS HAD A PIPE IN HIS MOUTH AND WAS SURROUNDED BY AT LEAST TWENTY CATS WITH WHICH HE WOULD AMUSE HIMSELF ALL DAY
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_34	NOT FOR A CROWN OR A KINGDOM OR OUR GOODNESS BUT FOR OUR SINS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_35	DO YOU SUPPOSE THAT GOD FOR THE SAKE OF A FEW LUTHERAN HERETICS WOULD DISOWN HIS ENTIRE CHURCH
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_36	AS THE AMBASSADOR OF A GOVERNMENT IS HONORED FOR HIS OFFICE AND NOT FOR HIS PRIVATE PERSON SO THE MINISTER OF CHRIST SHOULD EXALT HIS OFFICE IN ORDER TO GAIN AUTHORITY AMONG MEN
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_37	MISS MILNER'S HEALTH IS NOT GOOD
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_38	AND THIS METHOD OF TREATING THE CASE WAS MUCH MORE EFFECTUAL IN MAKING THEM DISPOSED TO AVOID COMMITTING A SIMILAR FAULT ANOTHER TIME THAN ANY DIRECT REBUKES OR EXPRESSIONS OF DISPLEASURE ADDRESSED PERSONALLY TO THEM WOULD HAVE BEEN
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_39	THEY WERE NOW PLAYING WITH THEIR DOLLS IN THE PARLOR
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_40	AT THE EDGE OF THIS BOX THERE LIES A GREAT WOODEN DOLL WHICH SO FAR AS MUTILATION IS CONCERNED BEARS A STRONG RESEMBLANCE TO THE FINEST GREEK SCULPTURE AND ESPECIALLY IN THE TOTAL LOSS OF ITS NOSE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_41	THEN HE LOOKED DOWN THE LAGOON WAS DRY
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_42	BUT THERE'S FATHER THE BARN SIR IF HE'D BE OF ANY USE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_43	BUT WE'RE NOT ER EXACTLY WELCOMED
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_44	THAT IS A VERY FINE CAP YOU HAVE HE SAID
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_45	BUT THE MEMORY OF THEIR EXPLOITS HAS PASSED AWAY OWING TO THE LAPSE OF TIME AND THE EXTINCTION OF THE ACTORS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_46	AIN'T THEY THE GREATEST
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_47	SHE INTRODUCED ME TO ALL HER GUESTS AND GAVE ME SOME PARTICULARS RESPECTING EVERY ONE OF THEM
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_48	SHE WAS NOT HERSELF A NOTABLY INTELLIGENT WOMAN SHE GREATLY ADMIRED INTELLIGENCE OR WHATEVER LOOKED TO HER LIKE INTELLIGENCE IN OTHERS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_49	YES WHY NOT THOUGHT ANDERS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_50	HE PASSES ABRUPTLY FROM PERSONS TO IDEAS AND NUMBERS AND FROM IDEAS AND NUMBERS TO PERSONS FROM THE HEAVENS TO MAN FROM ASTRONOMY TO PHYSIOLOGY HE CONFUSES OR RATHER DOES NOT DISTINGUISH SUBJECT AND OBJECT FIRST AND FINAL CAUSES AND IS DREAMING OF GEOMETRICAL FIGURES LOST IN A FLUX OF SENSE
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_51	OLIVE HAD PAINTED THE MOTTO ON A LONG NARROW PANEL OF CANVAS AND GIVING IT TO MISTER POPHAM STOOD BY THE FIRESIDE WHILE HE DEFTLY FITTED IT INTO THE PLACE PREPARED FOR IT
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_52	MANY IF NOT ALL THE ELEMENTS OF THE PRE SOCRATIC PHILOSOPHY ARE INCLUDED IN THE TIMAEUS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_53	MISSUS GREY HAD MET SOUTHERNERS BEFORE BUT NOT INTIMATELY AND SHE ALWAYS HAD IN MIND VIVIDLY THEIR CRUELTY TO POOR NEGROES A SUBJECT SHE MADE A POINT OF INTRODUCING FORTHWITH
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_54	SHE WANTED A GLANCE OF THE NEW BOOKS AND PERIODICALS AND TALK OF GREAT PHILANTHROPIES AND REFORMS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_55	NOTHING MORE THAN YOU KNOW YOURSELF
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_56	I AM VERY GLAD
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_57	WHAT CAN YOU MEAN BY THAT MISS WOODLEY YOU TALK MYSTERIOUSLY
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_58	A NARROW CHANNEL FORMED A PASSAGE THROUGH THE RIDGE OF ROCKS THAT PROTECTED IT FROM THE OPEN SEA AND WHICH EVEN IN THE ROUGHEST WEATHER WOULD ENSURE THE CALMNESS OF ITS WATERS
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_59	HOWEVER THE GRACE AND PEACE OF GOD WILL
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_60	TO NIGHT THERE WAS NO NEED OF EXTRA HEAT AND THERE WERE GREAT CEREMONIES TO BE OBSERVED IN LIGHTING THE FIRES ON THE HEARTHSTONES
overlap_ratio_0.0_sil2.9_3.0_session3_actual0.0_utterance_61	HE SAT DOWN WEAK BEWILDERED AND ONE THOUGHT WAS UPPERMOST ZORA
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_0	TO EMBARRASS THIS DAMAGING EXPOSURE JUDGE LECOMPTE ISSUED A WRIT AGAINST THE EX GOVERNOR ON A FRIVOLOUS CHARGE OF CONTEMPT
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_1	SEVERAL HUNDRED FREE STATE MEN PROMPTLY RESPONDED TO THE SUMMONS
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_2	ON HUGE SILVER PLATTERS WERE PYRAMIDS OF TARTS AND CAKES AND RED WINE SPARKLED IN GLITTERING DECANTERS
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_3	MILLIMETER ROUGHLY ONE TWENTY FIFTH OF AN INCH
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_4	OF STARTING I DIDN'T KNOW THE WAY TO COME
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_5	HE ONLY SHOOK HIS HEAD
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_6	HE TRIED TO THINK HOW IT COULD BE
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_7	NO MY LITTLE SON SHE SAID
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_8	I WILL BRIEFLY DESCRIBE THEM TO YOU AND YOU SHALL READ THE ACCOUNT OF THEM AT YOUR LEISURE IN THE SACRED REGISTERS
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_9	FAMILIARITY IS A FEELING CAPABLE OF DEGREES
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_10	REMEMBERING HAS TO BE A PRESENT OCCURRENCE IN SOME WAY RESEMBLING OR RELATED TO WHAT IS REMEMBERED
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_11	WHETHER OR NOT THIS PRINCIPLE IS LIABLE TO EXCEPTIONS EVERYONE WOULD AGREE THAT IS HAS A BROAD MEASURE OF TRUTH THOUGH THE WORD EXACTLY MIGHT SEEM AN OVERSTATEMENT AND IT MIGHT SEEM MORE CORRECT TO SAY THAT IDEAS APPROXIMATELY REPRESENT IMPRESSIONS
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_12	HE DARTED LIKE AN ARROW THROUGH ALL THE HALLS DOWN ALL THE STAIRS AND ACROSS THE YARD
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_13	I AM VERY GLAD
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_14	MANY LAWS EXIST AMONG US WHICH ARE THE COUNTERPART OF YOURS AS THEY WERE IN THE OLDEN TIME
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_15	THROUGH THE BLACK NIGHT RAIN HE SANG TO HER WINDOW BARS
overlap_ratio_0.0_sil2.9_3.0_session4_actual0.0_utterance_16	HE HAD THE FAITH IN HIM THAT MOVES MOUNTAINS
